Domain,Split,Text,Aspect,Category,Sentiment,Opinion,Is_Implicit_Aspect,Is_Implicit_Opinion,Text_Length
appsid,train,bagaimana cara login nya,"2,3",AUTH_ACCESS,2,"-1,-1",False,True,4
appsid,train,terbaik appsnya,"-1,-1",FEATURES_PRODUCT,2,"0,1",True,False,2
appsid,train,mudah dipakai dan tidak ribet,"-1,-1",UI_UX_DESIGN,2,"0,2",True,False,5
appsid,train,bebas iklan buka toko lele cepat bila dijalankan dan mengakses setiap fitur2nya,"1,2",PROMO_MARKETING,2,"5,6",False,False,12
appsid,train,yang disayangkan pernah juga ketika dipakai terkadang agak sulit membukanya pas pada saat koneksi internet lagi kurang stabil,"-1,-1",FEATURES_PRODUCT,0,"17,18",True,False,18
appsid,train,terkadang loading lambat sangat dan hanya berputar - putar saja,"1,2",APP_PERFORMANCE,0,"2,3",False,False,10
appsid,train,mungkin cuma itu saja hal yang biasa terjadi di aplikasi ini dan yang lain sesuai pengalaman transaksi sukses,"16,17",TRANSACTION_TRANSFER,2,"17,18",False,False,18
appsid,train,saran dan masukan untuk kedepannya agar yang gangguan dibenahi lagi,"7,8",APP_PERFORMANCE,2,"-1,-1",False,True,10
appsid,train,sangat bagus dan menarik fitur 2 nya,"4,5",FEATURES_PRODUCT,2,"0,2",False,False,7
appsid,train,mudah untuk transanksi,"-1,-1",UI_UX_DESIGN,2,"0,1",True,False,3
appsid,train,mungkin kalau bisa setor tunai di atm akan sangat berguana banget,"3,5",TRANSACTION_TRANSFER,2,"-1,-1",False,True,11
appsid,train,mungkin kalau bisa setor tunai di atm akan sangat berguana banget,"6,7",TRANSACTION_TRANSFER,2,"-1,-1",False,True,11
appsid,train,semoga bank jagi segera mengembangkannya senang,"-1,-1",FEATURES_PRODUCT,2,"5,6",True,False,6
appsid,train,bagus direkomendasikan dan sangat cepat digunakan,"-1,-1",FEATURES_PRODUCT,2,"1,2",True,False,6
appsid,train,bebas yang namanya iklan buka toko lele cepat bila dijalankan dan mengabsen setiap fitur - fiturnya,"3,4",PROMO_MARKETING,2,"7,8",False,False,16
appsid,train,bebas yang namanya iklan buka toko lele cepat bila dijalankan dan mengabsen setiap fitur - fiturnya,"13,14",FEATURES_PRODUCT,2,"-1,-1",False,True,16
appsid,train,yang disayangkan pernah juga ketika dipakai terkena agak sulit untuk pada saat koneksi internet lagi kurang stabil,"-1,-1",FEATURES_PRODUCT,0,"16,17",True,False,17
appsid,train,terkadang loading lambat sangat dan kamu berputar - putar saja,"1,2",APP_PERFORMANCE,0,"2,3",False,False,10
appsid,train,mungkin cuma itu saja hal yang biasa terjadi di sini dan yang lain sesuai pengalaman transaksi sukses,"15,16",TRANSACTION_TRANSFER,2,"16,17",False,False,17
appsid,train,cara memasukkan untuk kedepannya yang gangguan dibenahi semua nya,"5,6",APP_PERFORMANCE,2,"-1,-1",False,True,9
appsid,train,aplikasi banyak bug,"-1,-1",APP_PERFORMANCE,0,"2,3",True,False,3
appsid,train,developernya tidak bisa benerin,"-1,-1",FEATURES_PRODUCT,0,"1,3",True,False,4
appsid,train,lupa pasword diblokir,"2,3",AUTH_ACCESS,0,"2,3",False,False,3
appsid,train,otp pun tidak dikirim,"0,1",AUTH_ACCESS,0,"-1,-1",False,True,4
appsid,train,kalau keluarga mu sulit tidak makan,"-1,-1",FEATURES_PRODUCT,0,"3,4",True,False,6
appsid,train,jatuh tempo pembayaran masih sekitar 1 mingguan lagi,"2,3",TRANSACTION_TRANSFER,0,"-1,-1",False,True,8
appsid,train,yg bikin kurang nya setiap saat di telepon terus,"7,8",CUSTOMER_SERVICE,0,"2,3",False,False,9
appsid,train,dari semalam beli pulsa axis seharga 30ribu sampai sekarang jam 12 13 belum sampai juga bikin malas bertransaksi ini di jago,"3,4",TRANSACTION_TRANSFER,0,"-1,-1",False,True,21
appsid,train,bisa tidak otp menggunakan email,"2,3",AUTH_ACCESS,0,"-1,-1",False,True,5
appsid,train,klo menggunakan nomor itu riskan kartu mati dan hilang,"-1,-1",FEATURES_PRODUCT,0,"8,9",True,False,9
appsid,train,transaksi sangat mudah bagus,"0,1",TRANSACTION_TRANSFER,2,"3,4",False,False,4
appsid,train,kenapa jadi sering keluar sendiri kalau mau buka baru memasuki password keluar terus kadang,"3,5",APP_PERFORMANCE,0,"3,5",False,False,14
appsid,train,kenapa jadi sering keluar sendiri kalau mau buka baru memasuki password keluar terus kadang,"10,11",AUTH_ACCESS,0,"-1,-1",False,True,14
appsid,train,membantu sekali unk menabung,"-1,-1",FEATURES_PRODUCT,2,"0,1",True,False,4
appsid,train,sangat baik dengan banyak gratis administrasi transfer ke bank mana saja,"5,6",FEES_CHARGES,2,"4,5",False,False,11
appsid,train,sangat baik dengan banyak gratis administrasi transfer ke bank mana saja,"6,7",TRANSACTION_TRANSFER,2,"-1,-1",False,True,11
appsid,train,tidak perlu pakai aplikasi bank ini uang aku tidak masuk2 di transfer kawanku sudah 4 hari bertanya sana sini tidak ada respon hilang 2,"11,12",TRANSACTION_TRANSFER,2,"-1,-1",False,True,24
appsid,train,tidak perlu pakai aplikasi bank ini uang aku tidak masuk2 di transfer kawanku sudah 4 hari bertanya sana sini tidak ada respon hilang 2,"21,22",CUSTOMER_SERVICE,2,"22,23",False,False,24
appsid,train,suka lag terus keluar sendiri,"1,2",APP_PERFORMANCE,2,"0,1",False,False,5
appsid,train,suka lag terus keluar sendiri,"3,5",APP_PERFORMANCE,0,"3,5",False,False,5
appsid,train,akun aku terkunci di bank jago tidak bisa dibuka tidak ada solusi sampai hari nih,"2,3",AUTH_ACCESS,0,"-1,-1",False,True,15
appsid,train,akun aku terkunci di bank jago tidak bisa dibuka tidak ada solusi sampai hari nih,"6,9",APP_PERFORMANCE,0,"6,8",False,False,15
appsid,train,pelayanan lambat jika ada kendala,"0,1",CUSTOMER_SERVICE,0,"1,2",False,False,5
appsid,train,senang bisa gabung di bank jago mempermudahkan aku transfer dari taiwan ke akun bank jago jadi mudah kalau mau kirim ke keluarga langsung aku transfer lewat bank jago sendiri,"8,9",TRANSACTION_TRANSFER,2,"-1,-1",False,True,29
appsid,train,mohon pencerahan bagaimana aku bisa login ke aplikasi sementara nomer ponsel aku hilang dicuri orang,"5,6",AUTH_ACCESS,0,"-1,-1",False,True,15
appsid,train,mohon pencerahan bagaimana aku bisa login ke aplikasi sementara nomer ponsel aku hilang dicuri orang,"13,14",SECURITY_FRAUD,0,"12,13",False,False,15
appsid,train,login selalu mita otp,"0,1",AUTH_ACCESS,2,"-1,-1",False,True,4
appsid,train,login selalu mita otp,"3,4",AUTH_ACCESS,2,"-1,-1",False,True,4
appsid,train,syariah ganti ke jago biasa tidak bisa,"-1,-1",FEATURES_PRODUCT,1,"5,7",True,False,7
appsid,train,sangat tidak nyaman,"-1,-1",FEATURES_PRODUCT,0,"2,3",True,False,3
appsid,train,mantap,"-1,-1",FEATURES_PRODUCT,2,"0,1",True,False,1
appsid,train,mudah,"-1,-1",UI_UX_DESIGN,2,"0,1",True,False,1
appsid,train,pembaruan jangan sampai nge lag,"0,1",APP_PERFORMANCE,0,"-1,-1",False,True,5
appsid,train,pembaruan jangan sampai nge lag,"4,5",APP_PERFORMANCE,0,"-1,-1",False,True,5
appsid,train,mudah dan praktis dalam bertransaksi,"-1,-1",UI_UX_DESIGN,2,"0,1",True,False,5
appsid,train,bagus bermanfaat dan berguna,"-1,-1",FEATURES_PRODUCT,2,"0,1",True,False,4
appsid,train,kok aplikasi tidak bisa dibukak,"-1,-1",FEATURES_PRODUCT,0,"2,4",True,False,5
appsid,train,bahasa nya tidak ngarti,"0,1",UI_UX_DESIGN,0,"-1,-1",False,True,4
appsid,train,inggris rumit,"-1,-1",UI_UX_DESIGN,0,"1,2",True,False,2
appsid,train,bebas transfer menjadi keunggulan aplikasi ini,"1,2",TRANSACTION_TRANSFER,2,"-1,-1",False,True,6
appsid,train,aku mau menghapus rekening bank jago aku kok tidak bisa minn,"-1,-1",FEATURES_PRODUCT,0,"8,10",True,False,11
appsid,train,transaksi mudah dan banyak bonus nya di jago,"0,1",TRANSACTION_TRANSFER,2,"1,2",False,False,8
appsid,train,transaksi mudah dan banyak bonus nya di jago,"4,5",INTEREST_RETURNS,2,"-1,-1",False,True,8
appsid,train,dalam penghapusan penutupan penanganan administrasi nya sangat tidak nyaman,"4,5",FEES_CHARGES,0,"8,9",False,False,9
appsid,train,tidak bisa isi saldo kantong utama melalui alfamart atau indomaret,"2,4",TRANSACTION_TRANSFER,0,"0,2",False,False,10
appsid,train,tidak bisa isi saldo kantong utama melalui alfamart atau indomaret,"4,5",FEATURES_PRODUCT,0,"-1,-1",False,True,10
appsid,train,sangat buruk menurut saya,"-1,-1",FEATURES_PRODUCT,0,"0,2",True,False,4
appsid,train,hingga di telepon video dengan customer service dan semua di verifikasi,"2,3",CUSTOMER_SERVICE,0,"-1,-1",False,True,11
appsid,train,hingga di telepon video dengan customer service dan semua di verifikasi,"5,7",CUSTOMER_SERVICE,0,"-1,-1",False,True,11
appsid,train,hingga di telepon video dengan customer service dan semua di verifikasi,"10,11",ONBOARDING_KYC,0,"-1,-1",False,True,11
